video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=a4sVQo7a6EM&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@MizzouVisualProductions,Mizzou Visual Productions,"Jack Glaser:  Racially Biased Policing:  Causes, Consequences and Considerations",234,8 years,"University of Missouri Department of Psychological Sciences Distinguished Lecture Series, 2016-2017.",2026-01-22 05:33:37.234437
/watch?v=Oot0BOaQTZI&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@GoogleTechTalks,Google TechTalks,Racial Profiling Analysis in a Post-Beer Summit World,4.8K,14 years,"""Racial Profiling Analysis in a Post-Beer Summit World"" Greg Ridgeway Greg Ridgeway, Director of the RAND Safety & Justice ...",2026-01-22 05:33:45.639055
/watch?v=CVIVsb6VBpA&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@WHY2025NL,WHY2025,2022 -  Automatically Suspicious - Predictive policing in the Netherlands,521,3 years,https://media.ccc.de/v/mch2022-233-automatically-suspicious-predictive-policing-in-the-netherlands Predictive policing is hip and ...,2026-01-22 05:33:45.641926
/watch?v=6UCdkv3nvos&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@codeforamerica,Code for America,Case Study from North Carolina: Identifying Racial Bias in Policing Practices,410,10 years,2015 Code for America Summit Breakout Session: North Carolina developers and civil rights advocates used demographic data ...,2026-01-22 05:33:45.643664
/watch?v=y9oI8Uy3Xp8&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@EricSiegelPredicts,Eric Siegel,"Six ethical quandaries of predictive policing – from ""Machine Learning Leadership and Practice""",1K,5 years,"NEW BOOK: The AI Playbook by Eric Siegel. In his bestselling first book, Eric explained how machine learning works. Now, in The ...",2026-01-22 05:33:45.645659
/shorts/9W0ul3c3P-8,/@SingularityBrief,Singularity Brief,AI IS NOW PREDICTING WHO WILL COMMIT CRIME NEXT,1.1K,7 months,Predictive policing tools now analyze patterns to flag people or places likely to commit crimes. But these algorithms often just ...,2026-01-22 05:33:45.647069
/watch?v=zwq-WJFRK1Y&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@DigitalMarketingDigest,Digital Marketing Digest,Justice Served: Lawsuit Exposes Hawaii Police Department's Racist Arrest Tactics,57,7 months,"Power Up Anytime, Anywhere! https://amzn.to/3Esr08y BREAKING: Hawaii Police Department Sued for Purposeful False Arrests ...",2026-01-22 05:33:45.648480
/watch?v=Ni4z5rjoRC0&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@stoplapdspying,Stop LAPD Spying Coalition,Pt 110 - Behavioral Surveillance – Deputizing State Violence. For Close Caption click the CC button.,99,3 years,"In this third Tuesday of the month general meeting, we discuss how behavioral surveillance is used to trace, track, monitor, and ...",2026-01-22 05:33:45.649978
/watch?v=9ySuHG0WWJM&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@MicrosoftResearch,Microsoft Research,"Data Science Summer School 2019 - Replicating ""An Empirical Analysis of Racial Differences in Po...""",1.4K,5 years,"Data Science Summer School 2019 - Replicating ""An Empirical Analysis of Racial Differences in Police Use of Force"" This project ...",2026-01-22 05:33:45.652447
/watch?v=z7lWLx0LVHQ&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@marioventuri3815,Mario Venturi,KeyCrime. Predictive policing software.,284,8 years,The new generation of predictive policing.,2026-01-22 05:33:45.653809
/watch?v=UK5NQ9TnBw0&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@SingularityFM,Singularity Weblog,Renée Cummings on AI Ethics and Racism: Do what is right!,698,5 years,"Renée Cummings is a criminologist, criminal psychologist, and an AI ethicist who, among other things, specializes in best-practice ...",2026-01-22 05:33:45.655070
/shorts/Hdi-r5WuVZk,/@NACDLvideo,NACDLvideo,Police Are Using A.I. To Make Arrests - NACDL.org/Store,2.8K,2 years,... it's in those cases like facial recognition or predictive policing where you might not necessarily know whether law enforcement is ...,2026-01-22 05:33:45.656385
/watch?v=15W25Ijs9Rc&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@datasocietyresearchinstitu1085,Data & Society Research Institute,"[Conversations on the Datafied State] Part Three: Race, Surveillance, Resistance",310,3 years,"Part Three: Race, Surveillance, Resistance featuring Tamara K. Nopper and Chaz Arnett in conversation with Raúl Carrillo and ...",2026-01-22 05:33:45.659206
/watch?v=d4eJGR747y4&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@BKCHarvard,The Berkman Klein Center for Internet & Society,"Dirty Data, Bad Predictions - How Civil Rights Violations Impact Police Data, Systems & Society",1.6K,6 years,... research on the data provenance of police data commonly used in predictive policing system. The research reviews Department ...,2026-01-22 05:33:45.660761
/watch?v=dG0uhgfvx-U&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@sumosizedginger3686,Sumo Sized Ginger,JACKASS WITH AI: Predicted Guilty: How Palantir Built America’s AI Police State,24,3 months,"They're not waiting for you to commit a crime. They've already predicted you will. In 2025, Palantir Technologies—a private tech ...",2026-01-22 05:33:45.663436
/watch?v=AYg8GfveWTg&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@Welcome2HDiiTV,Welcome 2 HDiiTV,Why Hundreds of Mathematicians Are Boycotting Predictive Policing,35,5 years,Mathematicians are boycotting the program they have made for the police because theyre using for their own racial agenda.,2026-01-22 05:33:45.665539
/watch?v=I9DBv5qH5lI&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt0gcJCYcKAYcqIYzv,/@theGrioPolitics,theGrio Politics,"Colorado AG Finds Pattern of Racially Bias Policing, DOJ Files Injunction",331,4 years,"In the trending legal stories, Colorado Attorney General Phil Weiser announced that its yearlong investigation into the Aurora ...",2026-01-22 05:33:45.667102
/watch?v=rsU5i8H44hQ&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@HouseofDecollate,The House of Decollate,Is law enforcement bias when it comes to white crime in America.,5,10 months,"In this eye-opening video, we delve into the controversial issue of racial bias within American law enforcement and explore ...",2026-01-22 05:33:45.668353
/watch?v=jK2_Os7EEW8&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@nyuschooloflaw,NYU School of Law,Examining Racial Inequality in the Criminal Legal System,1.6K,5 years,"November 15, 2019 The Anatomy of Racism and Inequality Center on Race, Inequality, and the Law and NYU Law Review This ...",2026-01-22 05:33:45.669889
/watch?v=yfgIvrGlQXs&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@BrookingsInstitution,Brookings Institution,"Policing in America: Race relations, community policing, and technological innovations",2.7K,6 years,"On October 25, Governance Studies, the Race, Prosperity, and Inclusion Initiative, and the Center for Technology Innovation at ...",2026-01-22 05:33:45.671180
